Alt Camp,31942,20903,6637,8344,2566,668,573,1365
Alt Emporda,87322,54987,14105,19366,10824,3246,3161,2638
Alt Penedes,73002,47184,16729,15302,5096,2769,2221,3351
Alt Urgell,19572,10849,3430,4030,1773,528,473,213
Alta Ribagorca,3112,2179,824,820,149,34,92,199
Anoia,84723,49213,17702,13847,9122,2848,1661,2276
Bages,137295,79291,20272,25708,14847,3201,4637,7264
Baix Camp,126805,70127,21564,19692,8287,6863,3454,7865
Baix Ebre,57273,38435,10354,13107,7908,2741,1186,1925
Baix Emporda,88518,53640,16592,13549,7750,2023,4893,7066
Baix Llobregat,576430,292119,113335,40776,26280,31185,48390,22985
Baix Penedes,65787,38380,11474,12704,3104,2697,1538,5906
Barcelones,1680772,818371,274041,178803,63784,129640,80830,572  
